"type","flavor","state","index type","index","year"
"traditional","purchase-only","Alaska","index_sa",542.57,2000
"traditional","purchase-only","Alaska","index_nsa",580.31,2001
"traditional","purchase-only","Alaska","index_sa",577.8,2001
"traditional","purchase-only","Alaska","index_nsa",618.32,2002
"traditional","purchase-only","Alaska","index_sa",615.61,2002
"traditional","purchase-only","Alaska","index_nsa",663.96,2003
"traditional","purchase-only","Alaska","index_sa",661.11,2003
"traditional","purchase-only","Alaska","index_nsa",727.76,2004
"traditional","purchase-only","Alaska","index_sa",724.59,2004
"traditional","purchase-only","Alaska","index_nsa",806.77,2005
"traditional","purchase-only","Alaska","index_sa",803.25,2005
"traditional","purchase-only","Alaska","index_nsa",870.98,2006
"traditional","purchase-only","Alaska","index_sa",866.99,2006
"traditional","purchase-only","Alaska","index_nsa",900.21,2007
"traditional","purchase-only","Alaska","index_sa",896.16,2007
"traditional","purchase-only","Alaska","index_nsa",892.47,2008
"traditional","purchase-only","Alaska","index_sa",888.32,2008
"traditional","purchase-only","Alaska","index_nsa",875.13,2009
"traditional","purchase-only","Alaska","index_sa",871.4,2009
"traditional","purchase-only","Alaska","index_nsa",878.89,2010
"traditional","purchase-only","Alaska","index_sa",874.75,2010
"traditional","purchase-only","Alaska","index_nsa",897.37,2011
"traditional","purchase-only","Alaska","index_sa",893.51,2011
"traditional","purchase-only","Alaska","index_nsa",896.85,2012
"traditional","purchase-only","Alaska","index_sa",892.76,2012
"traditional","purchase-only","Alaska","index_nsa",922.07,2013
"traditional","purchase-only","Alaska","index_sa",918.27,2013
"traditional","purchase-only","Alaska","index_nsa",942.79,2014
"traditional","purchase-only","Alaska","index_sa",938.84,2014
"traditional","purchase-only","Alaska","index_nsa",972.17,2015
"traditional","purchase-only","Alaska","index_sa",968.4,2015
"traditional","purchase-only","Alaska","index_nsa",991.79,2016
"traditional","purchase-only","Alaska","index_sa",987.8,2016
"traditional","purchase-only","Alaska","index_nsa",1004.28,2017
"traditional","purchase-only","Alaska","index_sa",1000.21,2017
"traditional","purchase-only","Alaska","index_nsa",1022.58,2018
"traditional","purchase-only","Alaska","index_sa",1018.16,2018
"traditional","purchase-only","Alaska","index_nsa",1058.46,2019
"traditional","purchase-only","Alaska","index_sa",1053.72,2019
"traditional","purchase-only","Alaska","index_nsa",1107.49,2020
"traditional","purchase-only","Alaska","index_sa",1102.4,2020
"traditional","purchase-only","Alaska","index_nsa",1226.26,2021
"traditional","purchase-only","Alaska","index_sa",1220.7,2021
"traditional","purchase-only","Alaska","index_nsa",658.44,2022
"traditional","purchase-only","Alaska","index_sa",656.31,2022
"non-metro","all-transactions","Alaska","index_nsa",0,1975
"non-metro","all-transactions","Alaska","index_sa",0,1975
"non-metro","all-transactions","Alaska","index_nsa",0,1976
"non-metro","all-transactions","Alaska","index_sa",0,1976
"non-metro","all-transactions","Alaska","index_nsa",0,1977
"non-metro","all-transactions","Alaska","index_sa",0,1977
"non-metro","all-transactions","Alaska","index_nsa",0,1978
"non-metro","all-transactions","Alaska","index_sa",0,1978
"non-metro","all-transactions","Alaska","index_nsa",0,1979
"non-metro","all-transactions","Alaska","index_sa",0,1979
"non-metro","all-transactions","Alaska","index_nsa",0,1980
"non-metro","all-transactions","Alaska","index_sa",0,1980
"non-metro","all-transactions","Alaska","index_nsa",0,1981
"non-metro","all-transactions","Alaska","index_sa",0,1981
"non-metro","all-transactions","Alaska","index_nsa",0,1982
"non-metro","all-transactions","Alaska","index_sa",0,1982
"non-metro","all-transactions","Alaska","index_nsa",0,1983
"non-metro","all-transactions","Alaska","index_sa",0,1983
"non-metro","all-transactions","Alaska","index_nsa",0,1984
"non-metro","all-transactions","Alaska","index_sa",0,1984
"non-metro","all-transactions","Alaska","index_nsa",0,1985
"non-metro","all-transactions","Alaska","index_sa",0,1985
"non-metro","all-transactions","Alaska","index_nsa",0,1986
"non-metro","all-transactions","Alaska","index_sa",0,1986
"non-metro","all-transactions","Alaska","index_nsa",0,1987
"non-metro","all-transactions","Alaska","index_sa",0,1987
"non-metro","all-transactions","Alaska","index_nsa",0,1988
"non-metro","all-transactions","Alaska","index_sa",0,1988
"non-metro","all-transactions","Alaska","index_nsa",0,1989
"non-metro","all-transactions","Alaska","index_sa",0,1989
"non-metro","all-transactions","Alaska","index_nsa",0,1990
"non-metro","all-transactions","Alaska","index_sa",0,1990
"non-metro","all-transactions","Alaska","index_nsa",0,1991
"non-metro","all-transactions","Alaska","index_sa",0,1991
"non-metro","all-transactions","Alaska","index_nsa",0,1992
"non-metro","all-transactions","Alaska","index_sa",0,1992
"non-metro","all-transactions","Alaska","index_nsa",0,1993
"non-metro","all-transactions","Alaska","index_sa",0,1993
"non-metro","all-transactions","Alaska","index_nsa",0,1994
"non-metro","all-transactions","Alaska","index_sa",0,1994
"non-metro","all-transactions","Alaska","index_nsa",410.53,1995
"non-metro","all-transactions","Alaska","index_sa",NA,1995
"non-metro","all-transactions","Alaska","index_nsa",435.88,1996
"non-metro","all-transactions","Alaska","index_sa",NA,1996
"non-metro","all-transactions","Alaska","index_nsa",445.46,1997
"non-metro","all-transactions","Alaska","index_sa",NA,1997
"non-metro","all-transactions","Alaska","index_nsa",450.99,1998
"non-metro","all-transactions","Alaska","index_sa",NA,1998
"non-metro","all-transactions","Alaska","index_nsa",463.56,1999
"non-metro","all-transactions","Alaska","index_sa",NA,1999
"non-metro","all-transactions","Alaska","index_nsa",470.49,2000
"non-metro","all-transactions","Alaska","index_sa",NA,2000
"non-metro","all-transactions","Alaska","index_nsa",486.96,2001
"non-metro","all-transactions","Alaska","index_sa",NA,2001
"non-metro","all-transactions","Alaska","index_nsa",497.56,2002
"non-metro","all-transactions","Alaska","index_sa",NA,2002
"non-metro","all-transactions","Alaska","index_nsa",514.19,2003
"non-metro","all-transactions","Alaska","index_sa",NA,2003
"non-metro","all-transactions","Alaska","index_nsa",556.47,2004
"non-metro","all-transactions","Alaska","index_sa",NA,2004
"non-metro","all-transactions","Alaska","index_nsa",624.41,2005
"non-metro","all-transactions","Alaska","index_sa",NA,2005
"non-metro","all-transactions","Alaska","index_nsa",690.04,2006
"non-metro","all-transactions","Alaska","index_sa",NA,2006
