type,flavor,state,index type,index,year
traditional,purchase-only,Alabama,index_nsa,0,1990
traditional,purchase-only,Alabama,index_nsa,407.4,1991
traditional,purchase-only,Alabama,index_nsa,423.63,1992
traditional,purchase-only,Alabama,index_nsa,443.6,1993
traditional,purchase-only,Alabama,index_nsa,464.97,1994
traditional,purchase-only,Alabama,index_nsa,481.35,1995
traditional,purchase-only,Alabama,index_nsa,499.71,1996
traditional,purchase-only,Alabama,index_nsa,514.93,1997
traditional,purchase-only,Alabama,index_nsa,532.81,1998
traditional,purchase-only,Alabama,index_nsa,552.58,1999
traditional,purchase-only,Alabama,index_nsa,568.87,2000
traditional,purchase-only,Alabama,index_nsa,584.33,2001
traditional,purchase-only,Alabama,index_nsa,602.97,2002
traditional,purchase-only,Alabama,index_nsa,628.8,2003
traditional,purchase-only,Alabama,index_nsa,659.47,2004
traditional,purchase-only,Alabama,index_nsa,708.32,2005
traditional,purchase-only,Alabama,index_nsa,769.67,2006
traditional,purchase-only,Alabama,index_nsa,802.26,2007
traditional,purchase-only,Alabama,index_nsa,782.85,2008
traditional,purchase-only,Alabama,index_nsa,762.97,2009
traditional,purchase-only,Alabama,index_nsa,722.7,2010
traditional,purchase-only,Alabama,index_nsa,687.38,2011
traditional,purchase-only,Alabama,index_nsa,701.53,2012
traditional,purchase-only,Alabama,index_nsa,721.53,2013
traditional,purchase-only,Alabama,index_nsa,736.87,2014
traditional,purchase-only,Alabama,index_nsa,758.96,2015
traditional,purchase-only,Alabama,index_nsa,786.82,2016
traditional,purchase-only,Alabama,index_nsa,820.32,2017
traditional,purchase-only,Alabama,index_nsa,865.16,2018
traditional,purchase-only,Alabama,index_nsa,915.75,2019
traditional,purchase-only,Alabama,index_nsa,992.92,2020
traditional,purchase-only,Alabama,index_nsa,1149.1,2021
traditional,purchase-only,Alabama,index_nsa,650.97,2022
non-metro,all-transactions,Alabama,index_nsa,0,1975
non-metro,all-transactions,Alabama,index_nsa,0,1976
non-metro,all-transactions,Alabama,index_nsa,0,1977
non-metro,all-transactions,Alabama,index_nsa,0,1978
non-metro,all-transactions,Alabama,index_nsa,0,1979
non-metro,all-transactions,Alabama,index_nsa,0,1980
non-metro,all-transactions,Alabama,index_nsa,0,1981
non-metro,all-transactions,Alabama,index_nsa,0,1982
non-metro,all-transactions,Alabama,index_nsa,0,1983
non-metro,all-transactions,Alabama,index_nsa,0,1984
non-metro,all-transactions,Alabama,index_nsa,0,1985
non-metro,all-transactions,Alabama,index_nsa,0,1986
non-metro,all-transactions,Alabama,index_nsa,0,1987
non-metro,all-transactions,Alabama,index_nsa,0,1988
non-metro,all-transactions,Alabama,index_nsa,0,1989
non-metro,all-transactions,Alabama,index_nsa,0,1990
non-metro,all-transactions,Alabama,index_nsa,0,1991
non-metro,all-transactions,Alabama,index_nsa,0,1992
non-metro,all-transactions,Alabama,index_nsa,0,1993
non-metro,all-transactions,Alabama,index_nsa,0,1994
non-metro,all-transactions,Alabama,index_nsa,412.19,1995
non-metro,all-transactions,Alabama,index_nsa,433.52,1996
non-metro,all-transactions,Alabama,index_nsa,450.24,1997
non-metro,all-transactions,Alabama,index_nsa,480.97,1998
non-metro,all-transactions,Alabama,index_nsa,491.04,1999
non-metro,all-transactions,Alabama,index_nsa,506.67,2000
non-metro,all-transactions,Alabama,index_nsa,536.5,2001
non-metro,all-transactions,Alabama,index_nsa,550.6,2002
non-metro,all-transactions,Alabama,index_nsa,571.33,2003
non-metro,all-transactions,Alabama,index_nsa,587.82,2004
non-metro,all-transactions,Alabama,index_nsa,627.48,2005
non-metro,all-transactions,Alabama,index_nsa,676.88,2006
non-metro,all-transactions,Alabama,index_nsa,721.2,2007
non-metro,all-transactions,Alabama,index_nsa,737.31,2008
non-metro,all-transactions,Alabama,index_nsa,732.59,2009
non-metro,all-transactions,Alabama,index_nsa,707.85,2010
non-metro,all-transactions,Alabama,index_nsa,692.3,2011
non-metro,all-transactions,Alabama,index_nsa,691.09,2012
non-metro,all-transactions,Alabama,index_nsa,688.31,2013
non-metro,all-transactions,Alabama,index_nsa,688.46,2014
non-metro,all-transactions,Alabama,index_nsa,701.54,2015
non-metro,all-transactions,Alabama,index_nsa,716.22,2016
non-metro,all-transactions,Alabama,index_nsa,734.1,2017
non-metro,all-transactions,Alabama,index_nsa,755.09,2018
non-metro,all-transactions,Alabama,index_nsa,788.74,2019
non-metro,all-transactions,Alabama,index_nsa,827.38,2020
non-metro,all-transactions,Alabama,index_nsa,925.01,2021
non-metro,all-transactions,Alabama,index_nsa,522.85,2022
non-metro,expanded-data,Alabama,index_nsa,0,1975
non-metro,expanded-data,Alabama,index_nsa,0,1976
non-metro,expanded-data,Alabama,index_nsa,0,1977
non-metro,expanded-data,Alabama,index_nsa,0,1978
non-metro,expanded-data,Alabama,index_nsa,0,1979
non-metro,expanded-data,Alabama,index_nsa,0,1980
non-metro,expanded-data,Alabama,index_nsa,0,1981
non-metro,expanded-data,Alabama,index_nsa,0,1982
non-metro,expanded-data,Alabama,index_nsa,0,1983
non-metro,expanded-data,Alabama,index_nsa,0,1984
non-metro,expanded-data,Alabama,index_nsa,0,1985
non-metro,expanded-data,Alabama,index_nsa,0,1986
non-metro,expanded-data,Alabama,index_nsa,0,1987
non-metro,expanded-data,Alabama,index_nsa,0,1988
non-metro,expanded-data,Alabama,index_nsa,0,1989
non-metro,expanded-data,Alabama,index_nsa,0,1990
non-metro,expanded-data,Alabama,index_nsa,0,1991
non-metro,expanded-data,Alabama,index_nsa,0,1992
non-metro,expanded-data,Alabama,index_nsa,0,1993
non-metro,expanded-data,Alabama,index_nsa,0,1994
non-metro,expanded-data,Alabama,index_nsa,0,1995
non-metro,expanded-data,Alabama,index_nsa,0,1996
non-metro,expanded-data,Alabama,index_nsa,0,1997
non-metro,expanded-data,Alabama,index_nsa,0,1998
